city,companyField,companyName,companySize,detailLink,experience,full_or_parttime,month_salary,positionName,qualification
北京,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/4929824.html,1-3年,全职,15k-30k,数据分析师-增长策略方向,本科
,,,,,,,,,
北京,"移动互联网,O2O",贝壳找房（北京）科技有限公司,2000人以上,https://www.lagou.com/jobs/5030412.html,5-10年,全职,18k-28k,数据分析/运营,本科
,,,,,,,,,
北京,"移动互联网,教育",北京世纪好未来教育科技有限公司,2000人以上,https://www.lagou.com/jobs/5041746.html,5-10年,全职,30k-50k,数据分析专家,本科
,,,,,,,,,
北京,"移动互联网,金融",北京瓴岳信息技术有限公司,150-500人,https://www.lagou.com/jobs/5066649.html,1-3年,全职,15k-30k,数据分析师,硕士
,,,,,,,,,
北京,移动互联网,高德软件有限公司,2000人以上,https://www.lagou.com/jobs/5084959.html,1-3年,全职,20k-30k,数据分析方向-数据工艺工程师-昌平,硕士
,,,,,,,,,
北京,电子商务,北京京东世纪贸易有限公司,2000人以上,https://www.lagou.com/jobs/5003447.html,3-5年,全职,15k-25k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,O2O",北京怡合春天科技有限公司,50-150人,https://www.lagou.com/jobs/4974390.html,1年以下,全职,15k-25k,数据分析师,本科
,,,,,,,,,
北京,移动互联网,北京嘀嘀无限科技发展有限公司,2000人以上,https://www.lagou.com/jobs/4825113.html,3-5年,全职,15k-30k,数据分析师(J180705017),本科
,,,,,,,,,
上海,"移动互联网,硬件",上海蔚来汽车有限公司,2000人以上,https://www.lagou.com/jobs/5083649.html,1-3年,全职,15k-25k,数据分析师,本科
,,,,,,,,,
广州,"移动互联网,数据服务",北京易思易度科技有限公司广州分公司,50-150人,https://www.lagou.com/jobs/4063711.html,不限,全职,5K-8K,数据分析员,本科
,,,,,,,,,
北京,"生活服务,电子商务",北京造化科技有限公司,150-500人,https://www.lagou.com/jobs/4057574.html,5-10年,全职,10k-15k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,教育",北京作业盒子科技有限公司,500-2000人,https://www.lagou.com/jobs/4829465.html,3-5年,全职,20k-40k,数据分析,本科
,,,,,,,,,
合肥,移动互联网,飞友科技有限公司,150-500人,https://www.lagou.com/jobs/4426819.html,3-5年,全职,7k-14k,数据分析师,大专
,,,,,,,,,
北京,"移动互联网,游戏",完美世界（北京）软件科技发展有限公司,2000人以上,https://www.lagou.com/jobs/4369679.html,不限,全职,10k-15k,数据分析师(3776),不限
,,,,,,,,,
北京,教育 移动互联网,北京吾好科技发展有限公司,150-500人,https://www.lagou.com/jobs/4185934.html,3-5年,全职,20k-40k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/5121726.html,1-3年,全职,15k-25k,数据分析师-内容付费,本科
,,,,,,,,,
北京,"移动互联网,教育",北京世纪好未来教育科技有限公司,2000人以上,https://www.lagou.com/jobs/5075365.html,不限,实习,2k-4k,数据分析实习生,本科
,,,,,,,,,
北京,"移动互联网,金融",北京瓴岳信息技术有限公司,150-500人,https://www.lagou.com/jobs/5101825.html,1-3年,全职,15k-25k,数据分析师,硕士
,,,,,,,,,
上海,电子商务,上海河姆渡实业发展有限公司,500-2000人,https://www.lagou.com/jobs/4474387.html,3-5年,全职,15k-20k,数据分析师,本科
,,,,,,,,,
南京,数据服务,南京浦和数据有限公司,15-50人,https://www.lagou.com/jobs/3908272.html,不限,全职,10k-20k,数据分析师,本科
,,,,,,,,,
北京,"生活服务,电子商务",北京造化科技有限公司,150-500人,https://www.lagou.com/jobs/4900597.html,1-3年,全职,10k-15k,数据分析师,本科
,,,,,,,,,
杭州,"移动互联网,金融",浙江霖梓控股有限公司,150-500人,https://www.lagou.com/jobs/4202135.html,3-5年,全职,8k-15k,数据分析,本科
,,,,,,,,,
杭州,金融,众安在线财产保险股份有限公司,2000人以上,https://www.lagou.com/jobs/2850663.html,应届毕业生,实习,4k-5k,数据分析实习生,本科
,,,,,,,,,
北京,"广告营销,文化娱乐",北京奇艺世纪科技有限公司,2000人以上,https://www.lagou.com/jobs/4866747.html,3-5年,全职,25k-50k,资深数据分析师,本科
,,,,,,,,,
北京,游戏,清枫（北京）科技有限公司,50-150人,https://www.lagou.com/jobs/4013707.html,1-3年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
